team season day ones twos threes fours fives teampower chance id territory territory_power
12 1 1 0 0 0 0 0 0 1 405 36 0
43 1 1 3 0 0 0 0 3 0.5 406 37 6
45 1 1 0 0 1 0 0 3 0.5 407 37 6
12 1 1 0 0 0 0 0 0 0 408 37 6
13 1 1 0 0 0 0 0 0 1 409 38 0
13 1 1 0 0 0 0 0 0 1 410 39 0
13 1 1 0 0 0 0 0 0 1 411 40 0
14 1 1 0 0 0 0 0 0 0 412 41 3
13 1 1 0 0 1 0 0 3 1 413 41 3
14 1 1 0 0 0 0 0 0 0 414 42 4
29 1 1 0 2 0 0 0 4 1 415 42 4
14 1 1 0 0 0 0 0 0 0 416 43 3
30 1 1 0 0 1 0 0 3 1 417 43 3
15 1 1 0 1 0 0 0 3 1 418 44 3
15 1 1 0 0 0 0 0 0 1 419 45 0
15 1 1 1 0 0 0 0 1.5 1 420 46 1.5
16 1 1 0 0 0 0 0 0 0 421 47 1
22 1 1 1 0 0 0 0 1 1 422 47 1
16 1 1 0 0 0 0 0 0 0 423 48 3
29 1 1 0 0 1 0 0 3 1 424 48 3
29 1 1 0 1 1 0 0 5 0.7142857142857143 425 49 7
42 1 1 0 1 0 0 0 2 0.2857142857142857 426 49 7
16 1 1 0 0 0 0 0 0 0 427 49 7
17 1 1 0 0 0 0 0 0 1 428 50 0
17 1 1 0 0 0 0 0 0 0 429 51 2
18 1 1 0 1 0 0 0 2 1 430 51 2
36 1 1 1 0 0 0 0 1 0.25 431 52 4
3 1 1 0 0 1 0 0 3 0.75 432 52 4
17 1 1 0 0 0 0 0 0 0 433 52 4
18 1 1 0 0 0 0 0 0 1 434 53 0
18 1 1 0 0 0 0 0 0 1 435 54 0
18 1 1 0 1 0 0 0 3 1 436 55 3
19 1 1 0 0 0 0 0 0 1 437 56 0
19 1 1 0 1 0 1 0 9 1 438 57 9
19 1 1 0 0 0 0 0 0 0 439 58 1
43 1 1 1 0 0 0 0 1 1 440 58 1
20 1 1 0 3 0 0 0 9 1 441 59 9
20 1 1 0 1 0 0 0 3 0.375 442 60 8
30 1 1 1 2 0 0 0 5 0.625 443 60 8
20 1 1 0 0 0 0 0 0 1 444 61 0
21 1 1 0 0 0 0 0 0 1 445 62 0
21 1 1 0 0 0 0 0 0 1 446 63 0
